,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
11,1186673080501964806,Tue Oct 22 15:58:04 +0000 2019,ultrapoeta,,,"Apoyando la guerra Falsa de piñera, y tratando de quitar merito a lo real: ""las demandas de la gente"".
El gobierno… https://t.co/DpnDmzBBnT","Apoyando la guerra Falsa de piñera, y tratando de quitar merito a lo real: ""las demandas de la gente"".
El gobierno debe dar señales concretas. Una de ellas seria sacar a la vocera, mandar a Chadwick a su casa, y a otros ministros, y dejar de decir que estamos en guerra."
12,1186673080766205953,Tue Oct 22 15:58:04 +0000 2019,Mathi40,Matias_Chavez_S,Tue Oct 22 15:55:57 +0000 2019,RT @gapecito: Dejen de justificar a la vieja borracha #CeciliaMorelBebeConET #renunciapiñera #ToqueDeQuedaEnChile,
17,1186673083169628161,Tue Oct 22 15:58:05 +0000 2019,ESRownies,"Puerto Montt, Chile",Tue Oct 22 02:36:59 +0000 2019,"RT @tayswiftclub: piñera: *saca a los militares a las calles para asustar a los chilenos*
los chilenos:
#PiñeraDictador  #EstoPasaEnChile…",
27,1186673085539328003,Tue Oct 22 15:58:05 +0000 2019,catajaam,,Tue Oct 22 15:52:02 +0000 2019,"RT @Fran_RedBird: #QueSeVayanLosMilicos
#ChileCambio
#ChileDespeto
@sebastianpinera @senadorquintana @ifloresdiputado Una nueva constitució…",
31,1186673085946236928,Tue Oct 22 15:58:05 +0000 2019,krenchiqui,Chile,Tue Oct 22 14:44:28 +0000 2019,"RT @TottiAlba: Alcalde de Curicó exige e estos momentos en @adnradiochile la renuncia de Ministro del Interior, x asesinato de Jose Miguel…",
69,1186673092669644801,Tue Oct 22 15:58:07 +0000 2019,im_frutii,"santiago, chile",Tue Oct 22 04:00:08 +0000 2019,"RT @Asdfg4417: esto fue en Coronel, Concepción
De sus casas se los llevan
#piñeraDictador https://t.co/FvayVnObox",
75,1186673093374349317,Tue Oct 22 15:58:07 +0000 2019,El_otro_gallo,,Tue Oct 22 12:17:48 +0000 2019,"RT @Chileokulto: #EstoPasaEnChile
Cuando decíamos que @sebastianpinera aparecía para las catástrofes porque tenía sed de sangre, no nos equ…",
77,1186673093525360640,Tue Oct 22 15:58:07 +0000 2019,BaRiTaDeChiLe,,Tue Oct 22 14:44:28 +0000 2019,"RT @TottiAlba: Alcalde de Curicó exige e estos momentos en @adnradiochile la renuncia de Ministro del Interior, x asesinato de Jose Miguel…",
111,1186673101431595010,Tue Oct 22 15:58:09 +0000 2019,pandistes,,Tue Oct 22 14:43:53 +0000 2019,"RT @Chileokulto: #EstoPasaEnChileً
Maestros se ríen de @sebastianpinera y realizan performance con dichos ""Estamos en guerra"" 
Solo un dato…",
127,1186673106024316928,Tue Oct 22 15:58:10 +0000 2019,Ramiel_exe,,Tue Oct 22 14:43:53 +0000 2019,"RT @Chileokulto: #EstoPasaEnChileً
Maestros se ríen de @sebastianpinera y realizan performance con dichos ""Estamos en guerra"" 
Solo un dato…",
184,1186673119068655617,Tue Oct 22 15:58:13 +0000 2019,Marcosbellido07,,Tue Oct 22 05:50:02 +0000 2019,RT @adOlfoO18: #PiñeraDictador @sebastianpinera tus guardias asesinaron a este joven renuncia inoperante #RenunciaPiñera #DerechosHumanos #…,
212,1186673125179740161,Tue Oct 22 15:58:15 +0000 2019,MorbideliO,,,"Preferir gastar plata en armamento que dialogar, que mierda te pasa weon? #piñeradictador #piñerarenuncia",
234,1186673130175160322,Tue Oct 22 15:58:16 +0000 2019,jonathanbarrac,"Santiago, Chile",,@ceciperez1 @KarlaEnAccion : escuchen esta voz de un chileno: INCOMPETENTES!. #QueSeVayanLosMilicos #renunciapineira,
240,1186673132255535106,Tue Oct 22 15:58:16 +0000 2019,Luisbasaragua6,Maracay Edo. Aragua Venezuela,Tue Oct 22 15:35:00 +0000 2019,"RT @MariAleAguirre: #Chile en guerra, como le gusta a  @sebastianpinera 👇 https://t.co/GdGXZEH82j

#QueSeVayanLosMilicos",
258,1186673137225785345,Tue Oct 22 15:58:17 +0000 2019,LittleAnnie2906,Shi(shigang)le 🇨🇱,Tue Oct 22 02:32:14 +0000 2019,RT @kenytacastrito: Encontré esta foto no sé dónde 😅 pero está buenísima #EstoPasaEnChileً #PiñeraDictador #renunciapiñera y de pasaita te…,
280,1186673140216320001,Tue Oct 22 15:58:18 +0000 2019,SergioAravenaG,"La Florida, Metropolitana de S",Tue Oct 22 04:00:08 +0000 2019,"RT @Asdfg4417: esto fue en Coronel, Concepción
De sus casas se los llevan
#piñeraDictador https://t.co/FvayVnObox",
308,1186673145505288194,Tue Oct 22 15:58:19 +0000 2019,AllyJN2,,Tue Oct 22 15:56:17 +0000 2019,"RT @Jjkm_Gxxk: MENTIROSA CULIAAAA LOS PACOS Y LOS MILICOS ANDAN MATANDO GENTE, Cecilia Pérez renuncia 

#QueSeVayanLosMilicos",
323,1186673148688850944,Tue Oct 22 15:58:20 +0000 2019,ximtau,"Santiago, Chile",Tue Oct 22 15:56:00 +0000 2019,RT @juanjoavar: Qué opina don @sebastianpinera? Usted no es un defensor de la democracia? Envió a las FFAA a defender a la ciudadanía o a a…,
379,1186673160562905088,Tue Oct 22 15:58:23 +0000 2019,caciqu_spartaco,,Mon Oct 21 22:45:26 +0000 2019,"RT @wjsnsana: que fuertes son sus palabras, todos lo habiamos leido pero nunca lo habiamos vivido y todo esto obra de @sebastianpinera QUE…",
381,1186673160571277312,Tue Oct 22 15:58:23 +0000 2019,chico_samuelito,"Copiapó, Chile",,"Favor RT
FASCISTAS MENTIROSOS
@albertoespina
@karlaenaccion
@ceciperez1
@sebastianpinera
#RenunciaPiñeraCuliao
""Per… https://t.co/0mu1nViDi8","Favor RT
FASCISTAS MENTIROSOS
@albertoespina
@karlaenaccion
@ceciperez1
@sebastianpinera
#RenunciaPiñeraCuliao
""Peregrino de Chacarillas""
@andreschadwickp 
#ChadwickAsesino
#RenunciaChadwick
#CamiloCatrillanca
#JusticiaParaCamiloCatrillanca https://t.co/1M8cxP04L0"
390,1186673161858928640,Tue Oct 22 15:58:23 +0000 2019,D0sjotas,"Santiago, Chile",,Responde la pregunta vieja culia #piñeradictador #QueSeVayanLosMilicos,
485,1186673178699063297,Tue Oct 22 15:58:27 +0000 2019,alejandro87ao,,Tue Oct 22 15:50:42 +0000 2019,"RT @IAmAmarok: @sebastianpinera @baradit @ValdebenitoNata @anatijoux @AnaMariaGazmuri @ConySchon 1. No veas la televisión abierta

Desde ha…",
499,1186673181681160192,Tue Oct 22 15:58:28 +0000 2019,EspPawi,,,Karla Rubilar justificando el “estamos en guerra” de #PiñeraDictador 🤦🏻‍♀️ con palabras que nadie le cree #renunciarubilar #piñerarenuncia,
520,1186673185447657477,Tue Oct 22 15:58:29 +0000 2019,JoseIgnacioTV,Santiago,Mon Oct 21 18:02:53 +0000 2019,"RT @chileconvoca: #EstoPasaEnChile pedimos la renuncia de @sebastianpinera. Cecilia Pérez y el gobierno nos quiere criminalizar, nos quiere…",
564,1186673193576218625,Tue Oct 22 15:58:31 +0000 2019,drobinsondg,"Santiago, Chile",Tue Oct 22 15:23:16 +0000 2019,"RT @Shxdii: para @canal13  se acabó la crisis... todo ha terminado #Bienvenidos13
#estopasachile #piñeraDictador #QueSeVayanLosMilicos http…",
566,1186673193924341761,Tue Oct 22 15:58:31 +0000 2019,Cecilia92955315,,Tue Oct 22 14:04:01 +0000 2019,RT @LuciaDammert: Podriamos hacer la lista de gente que ha renunciado al gobierno? Alguien??? #ChileDesperto #EstadoDeEmergencia,
